Date,pcp CHIRPSc,pcp CHIRPS
"Jan 1, 1981",169.929,155.207
"Feb 1, 1981",174.853,153.387
"Mar 1, 1981",166.136,139.637
"Apr 1, 1981",112.447,85.914
"May 1, 1981",38.04,24.049
"Jun 1, 1981",15.741,15.279
"Jul 1, 1981",14.608,8.087
"Aug 1, 1981",36.07,29.726
"Sep 1, 1981",79.291,52.067
"Oct 1, 1981",92.331,59.118
"Nov 1, 1981",74.033,73.122
"Dec 1, 1981",223.384,211.123
"Jan 1, 1982",124.97,114.665
"Feb 1, 1982",259.103,228.044
"Mar 1, 1982",141.899,119.571
"Apr 1, 1982",53.503,40.897
"May 1, 1982",35.768,22.713
"Jun 1, 1982",29.876,28.583
"Jul 1, 1982",18.705,10.307
"Aug 1, 1982",32.792,27.014
"Sep 1, 1982",57.795,38.05
"Oct 1, 1982",138.354,88.391
"Nov 1, 1982",125.796,124.208
"Dec 1, 1982",102.952,97.232
"Jan 1, 1983",255.124,233.465
"Feb 1, 1983",79.954,70.575
"Mar 1, 1983",115.533,97.121
"Apr 1, 1983",61.807,47.005
"May 1, 1983",114.507,72.105
"Jun 1, 1983",20.844,20.228
"Jul 1, 1983",66.863,37.048
"Aug 1, 1983",24.628,19.913
"Sep 1, 1983",32.719,21.804
"Oct 1, 1983",86.624,55.369
"Nov 1, 1983",104.781,103.401
"Dec 1, 1983",64.976,60.489
"Jan 1, 1984",271.898,250.01
"Feb 1, 1984",134.039,118.411
"Mar 1, 1984",182.069,154.573
"Apr 1, 1984",45.053,34.441
"May 1, 1984",44.941,28.297
"Jun 1, 1984",21.343,21.178
"Jul 1, 1984",28.616,15.726
"Aug 1, 1984",36.539,29.126
"Sep 1, 1984",40.919,26.998
"Oct 1, 1984",132.339,84.745
"Nov 1, 1984",217.911,215.471
"Dec 1, 1984",200.61,188.985
"Jan 1, 1985",169.219,154.531
"Feb 1, 1985",118.591,104.389
"Mar 1, 1985",164.631,139.077
"Apr 1, 1985",135.501,103.968
"May 1, 1985",31.651,19.755
"Jun 1, 1985",34.173,32.843
"Jul 1, 1985",33.965,18.62
"Aug 1, 1985",41.746,34.113
"Sep 1, 1985",91.042,59.263
"Oct 1, 1985",52.86,33.707
"Nov 1, 1985",64.665,63.522
"Dec 1, 1985",114.084,106.623
"Jan 1, 1986",206.643,189.729
"Feb 1, 1986",228.474,200.176
"Mar 1, 1986",169.188,142.822
"Apr 1, 1986",77.077,59.025
"May 1, 1986",64.197,40.453
"Jun 1, 1986",28.964,28.004
"Jul 1, 1986",33.887,18.543
"Aug 1, 1986",32.547,26.318
"Sep 1, 1986",86.23,57.759
"Oct 1, 1986",53.394,34.27
"Nov 1, 1986",114.95,113.521
"Dec 1, 1986",175.081,166.248
"Jan 1, 1987",216.038,197.562
"Feb 1, 1987",72.924,64.063
"Mar 1, 1987",141.385,118.007
"Apr 1, 1987",66.256,50.656
"May 1, 1987",62.92,39.584
"Jun 1, 1987",44.502,41.959
"Jul 1, 1987",61.101,33.097
"Aug 1, 1987",27.532,22.473
"Sep 1, 1987",18.1,11.976
"Oct 1, 1987",154.376,98.676
"Nov 1, 1987",176.136,173.186
"Dec 1, 1987",201.881,190.309
"Jan 1, 1988",159.759,146.545
"Feb 1, 1988",50.767,44.917
"Mar 1, 1988",279.896,236.48
"Apr 1, 1988",144.336,110.626
"May 1, 1988",65.078,41.116
"Jun 1, 1988",13.08,13.047
"Jul 1, 1988",20.809,11.478
"Aug 1, 1988",14.863,12.372
"Sep 1, 1988",42.892,28.344
"Oct 1, 1988",51.377,32.91
"Nov 1, 1988",68.714,67.715
"Dec 1, 1988",196.791,184.69
"Jan 1, 1989",176.739,161.367
"Feb 1, 1989",220.494,193.957
"Mar 1, 1989",135.469,113.671
"Apr 1, 1989",124.965,95.804
"May 1, 1989",51.849,32.387
"Jun 1, 1989",49.184,46.963
"Jul 1, 1989",39.093,21.704
"Aug 1, 1989",41.285,33.259
"Sep 1, 1989",56.424,37.315
"Oct 1, 1989",35.517,22.771
"Nov 1, 1989",117.804,116.04
"Dec 1, 1989",220.047,209.378
"Jan 1, 1990",154.179,140.352
"Feb 1, 1990",164.738,144.219
"Mar 1, 1990",82.68,69.483
"Apr 1, 1990",85.246,65.395
"May 1, 1990",82.047,51.401
"Jun 1, 1990",46.527,44.44
"Jul 1, 1990",43.263,23.739
"Aug 1, 1990",53.677,43.617
"Sep 1, 1990",60.932,38.799
"Oct 1, 1990",74.909,47.857
"Nov 1, 1990",106.786,105.226
"Dec 1, 1990",132.786,125.755
"Jan 1, 1991",284.22,259.544
"Feb 1, 1991",151.53,132.508
"Mar 1, 1991",253.456,212.918
"Apr 1, 1991",84.852,64.807
"May 1, 1991",52.658,32.947
"Jun 1, 1991",49.276,47.384
"Jul 1, 1991",44.972,24.991
"Aug 1, 1991",15.585,12.854
"Sep 1, 1991",41.034,27.842
"Oct 1, 1991",88.474,56.52
"Nov 1, 1991",96.241,94.778
"Dec 1, 1991",103.222,98.374
"Jan 1, 1992",200.106,183.019
"Feb 1, 1992",111.699,98.443
"Mar 1, 1992",115.813,97.462
"Apr 1, 1992",37.957,29.01
"May 1, 1992",58.95,37.132
"Jun 1, 1992",27.088,26.336
"Jul 1, 1992",33.987,18.932
"Aug 1, 1992",40.557,32.554
"Sep 1, 1992",46.22,30.324
"Oct 1, 1992",118.994,76.135
"Nov 1, 1992",98.638,97.176
"Dec 1, 1992",149.07,141.912
"Jan 1, 1993",165.914,152.222
"Feb 1, 1993",71.968,63.322
"Mar 1, 1993",81.744,68.155
"Apr 1, 1993",46.337,35.587
"May 1, 1993",35.565,22.561
"Jun 1, 1993",47.104,44.1
"Jul 1, 1993",32.623,18.118
"Aug 1, 1993",48.789,39.955
"Sep 1, 1993",42.407,27.9
"Oct 1, 1993",59.057,37.809
"Nov 1, 1993",111.713,110.296
"Dec 1, 1993",102.98,97.513
"Jan 1, 1994",121.404,111.01
"Feb 1, 1994",91.333,80.47
"Mar 1, 1994",107.774,91.4
"Apr 1, 1994",37.303,28.507
"May 1, 1994",42.808,26.817
"Jun 1, 1994",26.472,25.516
"Jul 1, 1994",27.576,15.706
"Aug 1, 1994",28.981,23.429
"Sep 1, 1994",29.344,19.295
"Oct 1, 1994",91.096,58.183
"Nov 1, 1994",36.156,35.622
"Dec 1, 1994",117.44,110.585
"Jan 1, 1995",76.617,70.173
"Feb 1, 1995",72.745,64.384
"Mar 1, 1995",110.819,92.158
"Apr 1, 1995",54.455,41.701
"May 1, 1995",31.784,20.096
"Jun 1, 1995",13.798,13.256
"Jul 1, 1995",42.869,23.483
"Aug 1, 1995",26.142,21.533
"Sep 1, 1995",20.75,13.763
"Oct 1, 1995",42.065,26.933
"Nov 1, 1995",123.774,122.113
"Dec 1, 1995",87.457,82.638
"Jan 1, 1996",172.03,157.799
"Feb 1, 1996",120.658,106.061
"Mar 1, 1996",123.365,103.93
"Apr 1, 1996",90.413,68.92
"May 1, 1996",39.185,24.934
"Jun 1, 1996",23.233,22.86
"Jul 1, 1996",11.944,6.542
"Aug 1, 1996",33.735,27.555
